Number,Name,Nationality,Date of Birth,Weight,Height,Position,2020/2021,2019/2020,2018/2019,2021/2022
66,Trent Alexander-Arnold,England,07-10-98,69kg,175cm,Defender,Liverpool,Liverpool,Liverpool,Liverpool
77,James Norris,England,04-04-03,,,Defender,Liverpool,Liverpool,,Liverpool
78,Jarell Quansah,England,29-01-03,,,Defender,,,,Liverpool
89,Billy Koumetio,France,14-11-02,,,Defender,Liverpool,Liverpool,Liverpool,Liverpool
6,Thiago,Spain,11-04-91,70kg,174cm,Midfielder,Liverpool,,,Liverpool
8,Naby Keïta,Guinea,10-02-95,64kg,172cm,Midfielder,Liverpool,Liverpool,Liverpool,Liverpool
14,Jordan Henderson,England,17-06-90,67kg,182cm,Midfielder,Liverpool,Liverpool,Liverpool,Liverpool
7,James Milner,England,04-01-86,70kg,175cm,Midfielder,Liverpool,Liverpool,Liverpool,Liverpool
80,Tyler Morton,England,31-10-02,,,Midfielder,Liverpool,Liverpool,Liverpool,Liverpool
84,Conor Bradley,Northern Ireland,09-07-03,,,Midfielder,Liverpool,Liverpool,Liverpool,Liverpool
45,Elijah Dixon-Bonner,England,01-01-01,,,Midfielder,Liverpool,Liverpool,,Liverpool
52,Isaac Mabaya,England,22-09-04,,,Defender,,,,Liverpool
15,Alex Oxlade-Chamberlain,England,15-08-93,70kg,180cm,Midfielder,Liverpool,Liverpool,Liverpool,Liverpool
85,James Balagizi,England,20-09-03,,,Midfielder,,,,Liverpool
17,Curtis Jones,England,30-01-01,75kg,185cm,Midfielder,Liverpool,Liverpool,Liverpool,Liverpool
67,Harvey Elliott,England,04-04-03,,170cm,Midfielder,Liverpool,Liverpool,Fulham,Liverpool
94,Melkamu Frauendorf,Germany,12-01-04,,,Forward,,,,Liverpool
9,Roberto Firmino,Brazil,02-10-91,76kg,181cm,Forward,Liverpool,Liverpool,Liverpool,Liverpool
10,Sadio Mané,Senegal,10-04-92,69kg,175cm,Forward,Liverpool,Liverpool,Liverpool,Liverpool
11,Mohamed Salah,Egypt,15-06-92,71kg,175cm,Forward,Liverpool,Liverpool,Liverpool,Liverpool
20,Diogo Jota,Portugal,04-12-96,68kg,178cm,Forward,Liverpool,Wolves,Wolves,Liverpool
27,Divock Origi,Belgium,18-04-95,75kg,185cm,Forward,Liverpool,Liverpool,Liverpool,Liverpool
18,Takumi Minamino,Japan,16-01-95,68kg,174cm,Forward,Southampton  (Loan) ,Liverpool,Liverpool,Liverpool
49,Kaide Gordon,England,05-10-04,,,Forward,Liverpool,Liverpool,Liverpool,Liverpool
86,Harvey Blair,England,14-09-03,,,Forward,,,,Liverpool
82,Max Woltman,England,20-08-03,,,Forward,,,,Liverpool
23,Luis Díaz,Colombia,13-01-97,65kg,178cm,Forward,,,,Liverpool
25,David Martin,England,22-01-86,85kg,185cm,Goalkeeper,West Ham,West Ham,Liverpool,West Ham
35,Darren Randolph,Ireland,12-05-87,98kg,188cm,Goalkeeper,West Ham,West Ham,West Ham,West Ham
1,Lukasz Fabianski,Poland,18-04-85,83kg,190cm,Goalkeeper,West Ham,West Ham,West Ham,West Ham
13,Alphonse Areola,France,27-02-93,94kg,195cm,Goalkeeper,Fulham  (Loan) ,,,West Ham
3,Aaron Cresswell,England,15-12-89,66kg,170cm,Defender,West Ham,West Ham,West Ham,West Ham
21,Angelo Ogbonna,Italy,23-05-88,86kg,191cm,Defender,West Ham,West Ham,West Ham,West Ham
5,Vladimir Coufal,Czech Republic,22-08-92,76kg,179cm,Defender,West Ham,,,West Ham
24,Ryan Fredericks,England,10-10-92,74kg,181cm,Defender,West Ham,West Ham,West Ham,West Ham
23,Issa Diop,France,09-01-97,92kg,194cm,Defender,West Ham,West Ham,West Ham,West Ham
26,Arthur Masuaku,DR Congo,07-11-93,70kg,179cm,Defender,West Ham,West Ham,West Ham,West Ham
15,Craig Dawson,England,06-05-90,82kg,188cm,Defender,West Ham  (Loan) ,Watford,West Ham  (Loan) ,West Ham
75,Jamal Baptiste,England,11-11-03,,,Defender,West Ham,West Ham,,West Ham
31,Ben Johnson,England,24-01-00,67kg,175cm,Defender,West Ham,West Ham,West Ham,West Ham
4,Kurt Zouma,France,27-10-94,96kg,190cm,Defender,Chelsea,Chelsea,Everton  (Loan) ,West Ham
42,Ajibola Alese,England,17-01-01,,,Defender,West Ham,,,West Ham
50,Harrison Ashby,Scotland,14-11-01,,,Defender,West Ham,West Ham,,West Ham
28,Tomas Soucek,Czech Republic,27-02-95,86kg,192cm,Midfielder,West Ham,West Ham  (Loan) ,,West Ham
46,Pierre Ekwah,France,15-01-02,,,Defender,,,,West Ham
10,Manuel Lanzini,Argentina,15-02-93,59kg,167cm,Midfielder,West Ham,West Ham,West Ham,West Ham
11,Nikola Vlasic,Croatia,04-10-97,72kg,178cm,Midfielder,Everton,Everton,Everton,West Ham
41,Declan Rice,England,14-01-99,76kg,185cm,Midfielder,West Ham,West Ham,West Ham,West Ham
8,Pablo Fornals,Spain,22-02-96,67kg,178cm,Midfielder,West Ham,West Ham,,West Ham
16,Mark Noble,England,08-05-87,70kg,180cm,Midfielder,West Ham,West Ham,West Ham,West Ham
33,Alex Král,Czech Republic,19-05-98,72kg,185cm,Midfielder,,,,West Ham
59,Keenan Appiah-Forson,England,16-10-01,,,Midfielder,,,,West Ham
51,Daniel Chesters,England,04-04-02,,,Midfielder,,,,West Ham
64,Sonny Perkins,England,10-02-04,,,Midfielder,,,,West Ham
7,Andriy Yarmolenko,Ukraine,23-10-89,81kg,189cm,Forward,West Ham,West Ham,West Ham,West Ham
62,Freddie Potts,England,12-09-03,,,Midfielder,,,,West Ham
22,Saïd Benrahma,Algeria,10-08-95,67kg,172cm,Forward,West Ham,West Ham  (Loan) ,,West Ham
9,Michail Antonio,Jamaica,28-03-90,82kg,180cm,Forward,West Ham,West Ham,West Ham,West Ham
20,Jarrod Bowen,England,20-12-96,70kg,175cm,Forward,West Ham,West Ham,Hull,West Ham
56,Emmanuel Longelo,England,27-12-00,,,Forward,West Ham,West Ham,,West Ham
40,Armstrong Oko-Flex,Ireland,02-03-02,,,Forward,,,,West Ham
58,Kamarai Simon-Swyer,England,04-12-02,,,Midfielder,,,,West Ham
1,Hugo Lloris,France,26-12-86,82kg,188cm,Goalkeeper,Spurs,Spurs,Spurs,Spurs
40,Brandon Austin,England,07-01-99,82kg,188cm,Goalkeeper,Spurs,Spurs,Spurs,Spurs
22,Pierluigi Gollini,Italy,18-03-95,94kg,194cm,Goalkeeper,,,,Spurs
2,Matt Doherty,Ireland,16-01-92,80kg,182cm,Defender,Spurs,Wolves,Wolves,Spurs
3,Sergio Reguilón,Spain,16-12-96,68kg,178cm,Defender,Spurs,,,Spurs
6,Davinson Sánchez,Colombia,12-06-96,81kg,187cm,Defender,Spurs,Spurs,Spurs,Spurs
14,Joe Rodon,Wales,22-10-97,70kg,180cm,Defender,Spurs,Swansea,Swansea,Spurs
15,Eric Dier,England,15-01-94,88kg,188cm,Defender,Spurs,Spurs,Spurs,Spurs
48,Maksim Paskotsi,Estonia,19-01-03,,,Defender,Spurs,Spurs,,Spurs
25,Japhet Tanganga,England,31-03-99,76kg,184cm,Defender,Spurs,Spurs,Spurs,Spurs
33,Ben Davies,Wales,24-04-93,76kg,181cm,Defender,Spurs,Spurs,Spurs,Spurs
4,Cristian Romero,Argentina,27-04-98,79kg,185cm,Defender,,,,Spurs
50,Kallum Cesay,England,04-09-02,,,Defender,Spurs,,,Spurs
46,Malachi Fagan-Walcott,England,11-03-02,,,Defender,Spurs,Spurs,Spurs,Spurs
12,Emerson Royal,Brazil,14-01-99,79kg,181cm,Defender,,,,Spurs
53,Brooklyn Lyons-Foster,England,01-12-00,,,Defender,Spurs,Spurs,,Spurs
49,Tobi Omole,England,17-12-99,,,Defender,Spurs,,,Spurs
57,Marcel Lavinier,Portugal,16-12-00,,180cm,Defender,Spurs,Spurs,,Spurs
5,Pierre-Emile Højbjerg,Denmark,05-08-95,84kg,187cm,Midfielder,Spurs,Southampton,Southampton,Spurs
8,Harry Winks,England,02-02-96,65kg,178cm,Midfielder,Spurs,Spurs,Spurs,Spurs
19,Ryan Sessegnon,England,18-05-00,70kg,178cm,Midfielder,Spurs,Spurs,Fulham,Spurs
30,Rodrigo Bentancur,Uruguay,25-06-97,72kg,187cm,Midfielder,,,,Spurs
55,Romaine Mundle,England,24-04-03,,,Midfielder,Spurs,,,Spurs
42,Harvey White,England,19-09-01,,,Midfielder,Spurs,Spurs,Spurs,Spurs
52,Michael Craig,Scotland,16-04-03,,,Midfielder,Spurs,,,Spurs
45,Alfie Devine,England,01-08-04,75kg,179cm,Midfielder,Spurs,Spurs,Spurs,Spurs
51,Matthew Craig,Scotland,16-04-03,,,Midfielder,,,,Spurs
29,Oliver Skipp,England,16-09-00,70kg,175cm,Midfielder,Spurs,Spurs,Spurs,Spurs
21,Dejan Kulusevski,Sweden,25-04-00,80kg,186cm,Midfielder,,,,Spurs
54,Jamie Bowden,Ireland,09-07-01,,,Midfielder,Spurs,Spurs,Spurs,Spurs
7,Son Heung-Min,South Korea,08-07-92,78kg,183cm,Forward,Spurs,Spurs,Spurs,Spurs
23,Steven Bergwijn,Netherlands,08-10-97,78kg,178cm,Forward,Spurs,Spurs,,Spurs
27,Lucas Moura,Brazil,13-08-92,72kg,172cm,Forward,Spurs,Spurs,Spurs,Spurs
10,Harry Kane,England,28-07-93,86kg,188cm,Forward,Spurs,Spurs,Spurs,Spurs
44,Dane Scarlett,England,24-03-04,76kg,180cm,Forward,Spurs,Spurs,Spurs,Spurs
56,J'Neil Bennett,England,07-12-01,,,Forward,Spurs,,,Spurs
